photo_id,building_id,unit_id,photo_type,photo_url,caption,source_url,source_last_checked
photo_73,the_blvd_collection,the_blvd_collection-ms_3708s,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B475_Floorplan_A4S-1.png,The BLVD Collection MS-3708S floorplan,https://verisresidential.com/apartments/ms-3708s/,2026-05-28
photo_74,the_blvd_collection,the_blvd_collection-ms_2901s,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B475_Floorplan_B3S-1.png,The BLVD Collection MS-2901S floorplan,https://verisresidential.com/apartments/ms-2901s/,2026-05-28
photo_75,the_blvd_collection,the_blvd_collection-mn_1803n,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B475_Floorplan_A1N-1.png,The BLVD Collection MN-1803N floorplan,https://verisresidential.com/apartments/mn-1803n/,2026-05-28
photo_76,the_blvd_collection,the_blvd_collection-ms_3208s,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B475_Floorplan_A4S-1.png,The BLVD Collection MS-3208S floorplan,https://verisresidential.com/apartments/ms-3208s/,2026-05-28
photo_77,the_blvd_collection,the_blvd_collection-m1_1912,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B425_Floorplan_B5-1.png,The BLVD Collection M1-1912 floorplan,https://verisresidential.com/apartments/m1-1912/,2026-05-28
photo_78,the_blvd_collection,the_blvd_collection-m1_3711,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B425_Floorplan_A3-1.png,The BLVD Collection M1-3711 floorplan,https://verisresidential.com/apartments/m1-3711/,2026-05-28
photo_79,the_blvd_collection,the_blvd_collection-m2_2408,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B401_Floorplan_B7-1.png,The BLVD Collection M2-2408 floorplan,https://verisresidential.com/apartments/m2-2408/,2026-05-28
photo_8,the_cove,,building_primary,https://rockrose.com/wp-content/uploads/2021/01/TheCove_05_crop.jpg,The Cove primary image,https://rockrose.com/building/the-cove/,2026-05-28
photo_122,the_orchard_lic,,building_primary,https://theorchardlic.com/wp-content/uploads/2026/04/Amenities-Ground-Floor-Lobby-The-Orchard-New-York-Residences-1.jpg,The Orchard LIC primary image,https://theorchardlic.com/,2026-05-28
photo_3,view_34,,building_primary,https://www.udr.com/globalassets/communities/view-34/images/view34_2019_bdg1_olr-min.jpg,View 34 primary image,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/,2026-05-28
