poi_id,building_id,building_name,poi_type,name,address,distance_meters,lat,lng,google_place_id,rating,user_rating_count,primary_type,source,source_url,source_last_checked,last_updated_at,source_name,updated_by,internal_notes
1214_fifth_avenue_grocery_5,1214_fifth_avenue,1214 Fifth Avenue,grocery,Bravo Supermarkets,"1588 Madison Ave, New York, NY 10029, USA",360,40.7939212,-73.9497130,ChIJS6Vimd_3wokRkapK1mzcYkA,,,supermarket,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1214_fifth_avenue_grocery_6,1214_fifth_avenue,1214 Fifth Avenue,grocery,"Associated Supermarket of Madison Avenue, New York","1588 Madison Ave, New York, NY 10029, USA",368,40.7940029,-73.9496923,ChIJgdwPVun3wokR1n3yinD63PE,4.3,78,supermarket,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1214_fifth_avenue_grocery_7,1214_fifth_avenue,1214 Fifth Avenue,grocery,Corner Store 103st Lex Ave,"147 E 103rd St, New York, NY 10029, USA",398,40.7905443,-73.9478135,ChIJMRzsRID3wokRkR1w-wisxEY,4.5,2,grocery_store,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1214_fifth_avenue_grocery_8,1214_fifth_avenue,1214 Fifth Avenue,grocery,Golden Star Deli&Grill,"1621 Lexington Ave, New York, NY 10029, USA",420,40.7897664,-73.9479007,ChIJbe3BaAD3wokRzGnkBfNEcho,5,1,grocery_store,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1214_fifth_avenue_grocery_9,1214_fifth_avenue,1214 Fifth Avenue,grocery,Shell,"1599 Lexington Ave, New York, NY 10029, USA",421,40.7894290,-73.9481350,ChIJQcGj_qdYwokRtce4riQA7ec,3.5,82,gas_station,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1214_fifth_avenue_grocery_10,1214_fifth_avenue,1214 Fifth Avenue,grocery,103 St Lexington Corporation,"1629 Lexington Ave, New York, NY 10029, USA",422,40.7900733,-73.9477008,ChIJj-e3sgL2wokR8t7nQ1O4YVQ,5,2,convenience_store,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1214_fifth_avenue_coffee_1,1214_fifth_avenue,1214 Fifth Avenue,coffee,Arbero,"1468 Madison Ave, New York, NY 10029, USA",165,40.7899134,-73.9524506,ChIJN2hvcgBZwokRYlAnncj7pdE,5,1,coffee_shop,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1214_fifth_avenue_coffee_2,1214_fifth_avenue,1214 Fifth Avenue,coffee,JOE & THE JUICE,"1400 Madison Ave, New York, NY 10029, USA",378,40.7881444,-73.9536764,ChIJ8es6Q5FZwokRUwepwh3cgBk,3.1,184,juice_shop,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1214_fifth_avenue_coffee_3,1214_fifth_avenue,1214 Fifth Avenue,coffee,Dunkin',"1590 Madison Ave, New York, NY 10029, USA",378,40.7939981,-73.9495004,ChIJq57nqof3wokRmCB925nzhr8,4.2,81,coffee_shop,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1214_fifth_avenue_coffee_4,1214_fifth_avenue,1214 Fifth Avenue,coffee,Frenchy Coffee NYC,"129E E 102nd St, New York, NY 10029, USA",382,40.7898734,-73.9483415,ChIJaz4QVx32wokRfpu9QxuGV-w,4.5,488,coffee_shop,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1214_fifth_avenue_coffee_5,1214_fifth_avenue,1214 Fifth Avenue,coffee,Le Pain Quotidien,"1399 Madison Ave, New York, NY 10029, USA",393,40.7879563,-73.9534350,ChIJV8iHKqdYwokRWIyEYRMLCSw,4.1,746,restaurant,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
