source_id,source_name,source_url,source_type,owner,refresh_cadence,last_synced_at,status,notes
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/mn-4704n/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/mn-4904n/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/ms-2306s/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/ms-2901s/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/ms-3208s/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/ms-3302s/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/ms-3503s/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/ms-3708s/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/ms-3908s/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/ms-4602s/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/ms-4604s/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/ms-4701s/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_rockrose_com,rockrose.com,https://rockrose.com/listing/210-3/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_rockrose_com,rockrose.com,https://rockrose.com/listing/311-6/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_rockrose_com,rockrose.com,https://rockrose.com/listing/901-5/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
